0 1 0 0
1 10 7 2
2 14 10 4
3 15 11 5
4 21 15 8
5 31 20 11
6 36 24 13
7 44 30 16
8 63 40 21
9 64 41 22
10 66 42 23
11 68 44 24
12 75 50 27
13 77 52 29
14 82 56 32
15 85 59 33
16 90 62 34
17 92 64 36
18 94 65 37
19 101 70 40
20 104 72 42
21 109 75 44
22 112 76 45
23 117 79 46
24 120 81 48
25 121 82 49
26 123 83 50
27 125 85 51
28 140 96 55
29 144 98 56
30 147 99 57
31 148 100 58
32 150 102 59
33 153 104 60
34 155 105 61
35 158 106 62
36 168 111 63
37 169 112 64
38 173 114 65
39 180 119 67
40 181 120 68
41 182 121 69
42 183 122 70
43 184 123 71
44 185 124 72
45 186 125 73
46 188 127 74
47 192 129 76
48 200 135 80
49 204 138 81
50 210 141 83
51 212 143 84
52 213 144 85
53 223 151 89
54 227 154 91
55 242 164 96
56 246 167 97
57 250 170 99
58 252 172 100
59 256 176 101
60 258 178 103
61 261 181 105
62 264 183 106
63 265 184 107
64 268 186 108
65 269 187 109
66 282 194 112
67 283 195 113
68 286 198 114
69 287 199 115
70 289 201 116
71 294 205 117
72 302 212 120
73 305 214 121
74 307 215 122
75 308 216 123
76 309 217 124
77 312 218 125
78 318 221 128
79 319 222 129
80 322 224 130
81 325 226 132
82 326 227 133
83 327 228 134
84 328 229 135
85 330 231 137
86 333 232 138
87 335 234 139
88 336 235 140
89 338 237 142
90 341 238 143
91 345 241 144
92 346 242 145
93 347 243 146
94 351 246 149
95 352 247 150
96 353 248 151
97 355 250 152
98 357 251 153
99 360 253 155
100 366 256 157
